Rank,Score,Programming Skills,Driver Skills,Highest Programming Skills,Highest Driver Skills,Highest Programming Score Timestamp,Highest Driver Score Timestamp,Highest Programming Score Stop Time,Highest Driver Score Stop Time,Team Number,Team Name,Organization,Event Region,Country / Region
30,383,152,231,162,231,2023-02-11 22:09:26,2023-01-28 17:57:46,0,0,98548E,Explosive Engineers,Bear River High School,Utah,United States
31,383,151,232,151,232,2023-02-19 22:39:31,2023-02-20 00:31:40,0,0,2654P,Pronounce This,Longmont High School,Colorado,United States
32,381,179,202,179,202,2023-02-18 17:33:55,2023-02-18 20:06:15,0,0,16099A,Overclock,KG Computech,New York-South,United States
33,380,198,182,198,182,2023-02-18 21:35:28,2023-02-18 21:14:12,0,0,392X,SpeedZappers,SpeedZappers,California - Region 2,United States
34,374,151,223,151,223,2023-02-20 03:35:59,2023-02-20 01:29:41,0,0,96789Z,Mililani Mechs,Mililani Mechs Robotics,Hawaii,United States
35,371,186,185,186,197,2023-02-12 21:09:43,2022-11-05 14:13:09,0,0,9364C,IronEagles C=299792458m/s,Brentwood Academy,Tennessee,United States
36,371,172,199,172,199,2023-02-20 00:32:09,2023-02-20 01:46:38,0,0,8481X,Bridger Bot,Bridger Robotics,Montana,United States
37,367,174,193,174,193,2023-01-16 22:59:28,2023-01-17 00:01:01,0,0,8926W,Wigglebots,YNOT Robotics,South Carolina,United States
38,367,159,208,159,241,2022-12-16 18:03:16,2023-02-11 18:08:58,0,0,8110R,Top Gear,Mankato West Robotics,Minnesota,United States
39,362,190,172,190,172,2023-02-18 03:51:21,2023-02-18 02:42:39,0,3,315Y,Paradigm,Paradigm,California - Region 2,United States
40,360,170,190,170,190,2023-02-18 16:28:18,2023-02-18 18:27:10,0,0,81Y,VEXMEN: Cypher,Brandywine Robotics Inc.,Pennsylvania - East,United States
41,359,184,175,184,204,2022-11-13 17:49:18,2023-02-18 22:48:38,0,0,884B,Space Pandas,MBX Foundation,California - Region 4,United States
42,359,164,195,164,198,2022-12-16 20:30:17,2023-02-18 18:26:35,0,0,2011C,Crazy Train,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,United States
43,359,133,226,133,226,2023-02-19 23:24:50,2023-02-20 02:04:14,0,0,1569A,OMEGA,OMEGA Robotics,New York-South,United States
44,357,143,214,143,214,2023-02-09 08:21:17,2023-02-09 08:21:43,0,0,21021Y,21021Y,Concordia International School Shanghai,China,China
45,353,169,184,169,184,2023-02-18 18:10:22,2023-02-19 19:24:33,0,0,315V,Paradigm,Paradigm,California - Region 2,United States
46,351,164,187,164,187,2022-12-15 04:18:31,2022-12-15 04:44:00,0,0,10D,Exothermic Dusk,Exothermic Robotics,Washington,United States
47,351,146,205,160,205,2023-02-18 16:38:27,2023-02-20 00:48:24,0,0,343X,Chris,ST ALBANS SCHOOL,District of Columbia,United States
48,351,142,209,142,219,2022-12-10 19:07:32,2023-02-18 18:20:16,0,0,229V,ACE Robotics,ACE Robotics,Florida - North/Central,United States
49,350,145,205,145,205,2023-02-06 22:20:04,2023-02-05 23:51:16,0,0,2145Z,Pink Sparklee Unicorns,i think we are pretty organized,Virginia,United States
50,350,141,209,141,218,2023-02-05 03:41:29,2023-02-12 18:06:30,0,0,4154X,University School Sharks Robotics,NSU UNIVERSITY SCHOOL,Florida - South,United States
51,346,156,190,156,190,2023-02-11 19:08:52,2023-02-11 16:00:21,0,0,11124X,The Butterfly Effect,ELYRIA HIGH SCHOOL,Ohio,United States
52,345,159,186,159,188,2023-02-11 01:25:30,2023-01-28 17:26:58,0,0,3142P,Zip Ties and Duct Tape,Paideia School,Georgia,United States
53,345,136,209,136,209,2023-02-11 15:18:30,2023-02-11 14:22:40,0,0,4154V,University School Sharks Robotics,NSU UNIVERSITY SCHOOL,Florida - South,United States
54,344,128,216,128,216,2023-02-12 19:43:31,2023-02-12 21:11:30,0,0,2496V,BHS Robopatties V,ARNOLD O. BECKMAN HIGH,California - Region 4,United States
55,342,147,195,147,195,2023-02-18 15:33:02,2023-02-18 14:23:33,0,0,550C,AHS Robotics,APOPKA HIGH,Florida - North/Central,United States
56,342,136,206,136,206,2023-02-20 00:38:51,2023-02-20 01:52:28,0,0,42700X,X-Turn,42700,Hawaii,United States
57,342,135,207,135,207,2023-02-10 02:27:47,2023-02-09 05:03:52,0,0,11611C,六中一队,长春市第六中学,China,China
58,341,158,183,158,183,2023-02-09 22:01:18,2023-02-09 22:22:39,0,0,36620E,Foam Flingers,UNITY CHRISTIAN HIGH SCHOOL,Michigan,United States
59,341,155,186,155,186,2023-01-28 16:12:24,2023-01-28 17:08:04,0,0,5203G,Gremlin,OLA HIGH SCHOOL,Georgia,United States
60,341,139,202,139,202,2023-02-19 18:11:37,2023-02-18 18:00:33,0,0,66475C,Ex Machina,Private,Washington,United States
61,340,175,165,175,165,2023-02-11 00:01:31,2023-02-11 00:51:01,0,0,4148E,Three Headed Goat,Greenville High School,Texas - Region 2,United States
62,340,130,210,130,210,2023-02-09 21:21:27,2023-02-09 21:39:12,0,0,3223A,The Hallway,WEST MICHIGAN AVIATION ACADEMY,Michigan,United States
63,339,144,195,144,195,2023-02-19 18:13:01,2023-02-18 20:10:20,0,0,606X,VEX HEX,VEX HEX,Arizona,United States
64,339,137,202,143,202,2023-02-05 00:45:22,2023-02-11 18:07:31,0,0,20315D,Marcelline Robotics,Collège Sainte-Marcelline,Quebec,Canada
65,338,171,167,176,167,2023-01-21 18:46:07,2023-01-28 21:58:02,0,0,507D,507D,OTAY RANCH SENIOR HIGH,California - Region 4,United States
66,338,152,186,152,186,2023-02-11 00:44:34,2023-02-11 02:13:33,0,0,3142Y,Yutz,Paideia School,Georgia,United States
67,337,146,191,146,191,2023-02-11 17:24:35,2023-02-11 19:17:47,0,0,99067B,Nano Jagwires,DESERT RIDGE HIGH,Arizona,United States
68,337,139,198,139,204,2022-10-22 16:01:50,2023-02-18 18:51:27,0,0,67101C,Centrifuge,Maize Career Academy,Kansas,United States
69,335,153,182,153,193,2023-01-28 18:41:24,2023-02-16 21:07:15,0,0,99060K,Westminster Knights,WESTMINSTER SCHOOL AT OAK MOUNTAIN,Alabama,United States
70,335,136,199,136,199,2022-12-03 19:33:02,2022-12-03 14:48:08,0,0,96504C,Exotek,Brentwood High School,Tennessee,United States
71,335,129,206,129,206,2023-02-04 17:31:40,2023-02-04 22:41:47,0,0,16689B,Velocity,Dracobots,Oregon,United States
72,334,140,194,140,194,2023-01-20 21:48:24,2023-01-20 17:53:30,0,0,11124R,T-Rex Push-Ups,ELYRIA HIGH SCHOOL,Ohio,United States
73,333,152,181,152,181,2022-12-02 08:41:26,2022-12-02 09:13:06,0,0,66799G,AST-onishing G,American School in Taichung,Chinese Taipei,Taiwan
74,333,117,216,117,216,2023-02-11 00:36:49,2023-02-11 16:04:26,27,0,4148A,Average...,Greenville High School,Texas - Region 2,United States
75,330,140,190,140,190,2022-12-29 03:24:36,2022-12-29 02:20:32,0,0,9181R,Revolt,Seaquam Secondary,British Columbia (BC),Canada
76,330,129,201,129,201,2023-02-11 17:46:24,2023-02-11 15:24:33,0,0,2011E,Ember,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,United States
77,328,127,201,127,201,2023-01-28 20:55:31,2023-01-28 18:24:08,0,0,80508X,¡Korvex!,,Virginia,United States
78,327,153,174,153,213,2023-02-20 00:46:20,2022-10-17 18:46:15,0,0,3759X,Virtuoso,Interstellar Robotics,California - Region 4,United States
79,327,139,188,139,188,2023-01-28 16:45:00,2023-01-28 16:55:17,0,0,71909X,TESLA MODEL X,Baton Rouge Magnet High School,Louisiana,United States
80,327,104,223,104,223,2023-01-14 16:58:11,2023-01-14 17:55:02,0,0,87867C,Galaxy,AIRobotics Academy LLC,Texas - Region 2,United States
81,326,163,163,163,185,2023-01-20 17:15:38,2022-12-17 15:42:55,0,0,19589A,Hope Robotics,Center of Hope,Tennessee,United States
82,325,131,194,131,194,2023-02-18 05:10:12,2023-02-18 04:39:15,0,0,18888A,Heavy Metal Mush,Heavy Metal Robotics,California - Region 2,United States
83,323,152,171,152,171,2023-02-12 20:10:32,2023-02-12 16:25:44,0,0,81208X,LeRoi Robotics,LeRoi Robotics,Ontario,Canada
84,323,127,196,127,196,2023-01-28 21:51:41,2023-01-28 22:29:35,0,0,8301D,Cougarbots D,SAN YSIDRO HIGH,California - Region 4,United States
85,322,124,198,124,198,2023-02-18 14:46:05,2023-02-18 18:25:30,0,0,81Z,VEXMEN: Zero,Brandywine Robotics,Pennsylvania - East,United States
86,322,123,199,123,199,2023-02-12 19:50:09,2023-02-12 17:22:59,0,0,50810E,The Department of Microwave Repair,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,Florida - South,United States
87,320,124,196,124,208,2023-02-13 00:06:16,2023-02-18 20:33:23,0,0,7700R,Rolling Robots,Rolling Robots,California - Region 4,United States
88,319,159,160,159,165,2023-01-14 18:40:36,2023-02-22 01:09:17,0,0,99904X,X3V,NEW PALESTINE HIGH SCHOOL,Indiana,United States
89,318,150,168,161,168,2023-02-05 01:39:37,2023-02-11 20:55:14,0,0,20315C,Marcelline Robotics,Collège Sainte-Marcelline,Quebec,Canada
90,317,142,175,142,180,2023-01-28 14:46:23,2023-02-04 16:43:01,0,0,1727B,REX,DULANEY HIGH,Maryland,United States
91,317,132,185,132,185,2023-01-14 20:39:40,2023-01-14 19:07:12,0,0,87867D,Edison,AI & Robotics Academy LLC,Texas - Region 2,United States
92,316,137,179,137,188,2023-02-15 23:59:13,2023-02-04 16:42:56,0,0,47969A,Big Brains,PIKE ROAD HIGH SCHOOL,Alabama,United States
93,316,132,184,132,184,2023-02-11 15:01:33,2023-02-11 17:21:21,0,0,6842G,Ghost Code,PARK TUDOR SCHOOL,Indiana,United States
94,316,127,189,127,189,2023-01-07 00:15:55,2023-01-07 02:47:02,0,0,11124P,Project 25,ELYRIA HIGH SCHOOL,Ohio,United States
95,314,169,145,169,153,2023-02-04 03:03:35,2022-12-03 00:59:08,0,0,17022A,Pangolin,HappyRobot,Chinese Taipei,Taiwan
96,314,93,221,99,221,2023-01-28 21:30:33,2023-02-11 19:26:15,0,0,2131H,WaiveLength,DAVIS HIGH,Utah,United States
97,313,161,152,161,152,2023-02-09 05:06:17,2023-02-09 05:06:56,0,0,7890S,No.3 HSch Fuzhou,Fuzhou No.3 High School,China,China
98,313,119,194,119,194,2022-12-01 12:51:54,2022-12-01 12:56:19,0,0,46131B,Barker Redbacks,Barker College,Australia,Australia
99,312,149,163,149,163,2023-01-28 17:31:55,2023-01-28 18:10:14,0,0,151T,Basement Dwellers,Basement Robotics,Texas - Region 4,United States
100,312,112,200,122,200,2023-02-11 14:56:22,2023-01-20 17:47:09,0,0,2011F,FaZe Clan,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,United States
101,311,127,184,127,186,2023-02-15 00:26:38,2023-02-11 15:30:56,0,0,99904B,Boogie Woogie,NEW PALESTINE HIGH SCHOOL,Indiana,United States
102,311,114,197,114,197,2023-02-11 05:23:40,2023-02-11 06:41:48,0,0,8076A,Conquest,Hwa Chong Institution,Singapore,Singapore
103,310,136,174,136,174,2023-02-11 01:59:16,2023-02-11 02:28:19,0,0,8682N,Nighthawks,Newton College and Career Academy,Georgia,United States
104,309,131,178,131,178,2023-02-18 18:42:19,2023-02-18 15:52:56,0,0,5069Z,Time Well SPINt,Millard North High School,Nebraska,United States
105,308,131,177,131,179,2023-02-01 01:25:14,2023-02-18 16:37:53,0,0,60883W,Double U,AKRON STEM HIGH SCHOOL,Ohio,United States
106,305,114,191,114,191,2023-01-28 16:54:09,2023-01-28 19:14:15,0,0,36405A,Aluminum Falcons,"Aluminum Falcons Robotics, Brambleton, VA",Virginia,United States
107,303,146,157,146,157,2023-02-06 16:47:03,2023-02-05 23:14:54,0,0,80708Y,Exobits,Exobytes,Virginia,United States
108,303,137,166,137,166,2023-02-01 20:12:30,2023-02-01 20:27:36,0,0,1353V,Farmingdale Robotics,FARMINGDALE SENIOR HIGH SCHOOL,New York-South,United States
109,303,118,185,118,205,2023-01-14 22:03:12,2023-02-18 03:52:45,0,0,10B,Exothermic Blaze,Exothermic Robotics,Washington,United States
110,302,134,168,134,170,2023-02-18 15:47:09,2023-02-11 17:23:47,0,0,729S,Scitus,Downingtown Robotics,Pennsylvania - East,United States
111,300,148,152,148,152,2023-02-13 16:14:37,2023-02-13 16:16:24,0,0,4811A,Serkk-it,Serkk-it,Southern New England,United States
112,300,140,160,140,160,2023-02-11 19:15:11,2023-02-11 15:09:00,0,0,50810C,Iron Jags,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,Florida - South,United States
113,300,112,188,112,188,2023-01-13 23:44:25,2023-01-14 00:17:22,0,0,23418A,RedBisons,RedBisons,Japan,Japan
114,299,110,189,112,189,2023-01-21 14:29:40,2023-02-03 17:14:58,0,0,248A,RoboDawgs: Vulcan,Grandville Robotics,Michigan,United States
115,297,126,171,127,187,2023-02-11 15:08:01,2022-12-02 17:28:10,0,0,2344A,Bolt Bots,CLEAR SPRINGS HIGH SCHOOL,Texas - Region 3,United States
116,297,121,176,121,197,2023-01-20 21:16:40,2023-02-03 17:27:46,0,0,248D,RoboDawgs: Differential,Grandville Robotics,Michigan,United States
117,296,138,158,138,180,2023-01-20 22:25:42,2023-02-18 16:07:51,0,0,6403A,Aces,Brookside High School,Ohio,United States
118,296,136,160,136,182,2023-01-21 18:49:33,2022-12-10 18:15:37,0,0,2011D,Dopamine,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Ohio,United States
119,296,114,182,115,182,2023-01-14 19:51:31,2023-02-11 19:38:15,0,0,98548J,ACE,Bear River High School,Utah,United States
120,296,104,192,104,192,2023-02-04 21:10:22,2023-02-04 19:24:29,0,0,3796B,Some Assembly Required,J. L. MANN HIGH ACADEMY,South Carolina,United States
121,295,145,150,145,150,2023-02-11 16:29:32,2023-02-11 21:10:55,0,0,53171E,The Aliens,Shoreland Lutheran High School,Wisconsin,United States
122,295,136,159,136,174,2023-01-14 18:27:07,2023-02-05 02:37:35,0,7,1010N,TenTon Robotics,West Vancouver School District #45,British Columbia (BC),Canada
123,295,129,166,129,166,2023-01-21 14:41:10,2023-01-21 17:55:42,0,0,550G,AHS Robotics,APOPKA HIGH,Florida - North/Central,United States
124,294,136,158,136,158,2023-02-13 22:44:20,2023-02-14 00:10:53,0,0,11124Z,Carnivorous Llamas,ELYRIA HIGH SCHOOL,Ohio,United States
125,294,132,162,132,162,2022-12-16 17:36:59,2022-12-16 20:06:29,0,0,6210X,HCS Eagles: Phoenix,Heritage Christian School,Indiana,United States
126,294,103,191,114,191,2023-02-03 20:01:35,2023-01-20 20:10:37,0,0,248E,RoboDawgs: On ICE!!!,Grandville Robotics,Michigan,United States
127,294,113,181,113,181,2023-02-04 18:34:21,2023-02-04 19:03:24,20,0,7405N,Millburn Nitro,Millburn High School,New Jersey,United States
128,294,107,187,107,187,2023-02-18 18:36:00,2023-02-18 16:48:28,0,0,24816C,Ctrl-C,Happy Valley High School,Tennessee,United States
129,294,87,207,105,207,2022-12-03 18:49:42,2023-02-11 14:45:30,0,0,14947F,Dark Fenix,Fenix+ Robotics,Quebec,Canada
130,293,98,195,134,195,2022-11-13 00:43:42,2022-12-02 06:30:28,0,0,66655A,Roundabout,Dr.player Robotic Lab . Caotun,Chinese Taipei,Taiwan
131,293,126,167,126,167,2023-02-04 17:05:29,2023-02-04 17:22:05,0,5,3796H,Lotso Gears,J. L. MANN HIGH ACADEMY,South Carolina,United States
132,292,135,157,135,157,2023-02-18 15:22:55,2023-02-18 15:13:44,0,0,39702C,New Hope Robotics,NEW HOPE,Mississippi,United States
133,291,137,154,137,154,2022-12-03 20:12:22,2022-12-03 17:55:40,9,0,39Y,Yolt,CRANBROOK SCHOOLS,Michigan,United States
134,291,111,180,136,180,2023-02-16 14:39:46,2023-02-03 19:20:57,0,0,643A,Go Bananas,OAK MOUNTAIN HIGH SCHOOL,Alabama,United States
135,287,125,162,125,162,2023-02-18 14:30:40,2023-02-18 18:25:28,0,0,550X,AHS Robotics,APOPKA HIGH,Florida - North/Central,United States
136,286,94,192,118,192,2023-02-11 15:08:58,2023-02-04 19:30:41,0,0,99966X,Aquatic Lawnchairs,Garland HS,Texas - Region 2,United States
137,286,113,173,113,173,2023-02-18 16:04:56,2023-02-18 17:34:35,0,0,6210M,HCS Eagles: Meta Mafia,Heritage Christian School,Indiana,United States
138,285,90,195,90,195,2023-01-21 22:23:41,2023-01-21 19:31:33,20,0,507B,Mustang Robotics 507B,Otay Ranch High School,California - Region 4,United States
139,284,111,173,111,173,2023-02-19 17:19:27,2023-02-18 04:54:29,0,0,315K,Paradigm,Paradigm,California - Region 2,United States
140,284,103,181,105,181,2023-01-11 22:46:33,2023-01-20 21:31:58,0,0,6008N,RNA,NORTH UNION HIGH SCHOOL,Ohio,United States
141,284,99,185,99,196,2023-01-29 22:12:30,2023-02-04 18:45:01,0,0,502W,The Swarm,"SD41 Mechatronics, Burnaby",British Columbia (BC),Canada
142,283,120,163,120,201,2023-02-03 20:24:48,2023-01-14 17:57:30,0,20,55645X,ARSENAL,ARSENAL ROBOTICS,New York-South,United States
143,283,84,199,86,199,2023-01-17 15:05:16,2023-02-11 15:28:07,0,0,9447B,Wild Cards,Palmetto Scholars Academy,South Carolina,United States
144,282,134,148,134,148,2023-02-18 22:30:53,2023-02-18 20:15:11,0,0,1669X,Milpitas Xtreme Robotics,Milpitas High School,California - Region 2,United States
145,282,70,212,70,212,2023-02-18 01:11:10,2023-02-18 00:30:21,0,0,2068B,Metal Jackets-Tonka,OSBOURN PARK HIGH,Virginia,United States
146,281,114,167,114,167,2023-02-19 23:21:40,2023-02-20 01:13:31,0,0,3141X,FuzzyKnightMonsterDaddy,Gross Catholic Robotics,Nebraska,United States
147,281,108,173,108,173,2023-02-18 19:12:19,2023-02-18 17:04:16,20,7,7316X,Xcalibur,FIRESTONE HIGH SCHOOL,Ohio,United States
148,281,92,189,98,189,2023-01-28 21:41:42,2023-02-11 13:13:23,0,0,71811N,Northview VEX,NORTHVIEW HIGH SCHOOL,Georgia,United States
149,279,130,149,171,149,2023-02-05 18:38:07,2023-01-14 19:45:25,5,0,15797A,Monka Mechanics,Lexington High School,Southern New England,United States
150,278,126,152,126,152,2023-02-18 15:34:58,2023-02-18 16:19:08,0,0,80208X,That's Dangerous,Rock Ridge High School,Virginia,United States
151,278,119,159,119,162,2022-12-03 02:02:20,2022-11-13 12:54:27,0,0,58A,Dream Rover,5D college,Australia,Australia
152,278,112,166,115,166,2023-02-04 18:05:08,2023-01-17 15:29:48,0,0,3796A,Mann Made,J. L. MANN HIGH ACADEMY,South Carolina,United States
153,277,134,143,134,152,2022-11-12 17:56:58,2022-10-29 19:35:08,0,0,580X,Patriots,Patriot Robotics,Texas - Region 2,United States
154,277,127,150,127,150,2022-12-03 15:53:19,2022-12-03 17:38:43,0,0,7686B,Capten,Tiger Robotics,South Dakota,United States
155,277,89,188,105,188,2023-02-04 19:38:29,2023-02-16 01:28:55,0,0,6842K,Killer Instinct,PARK TUDOR SCHOOL,Indiana,United States
156,276,126,150,126,150,2022-11-13 19:35:23,2022-11-13 18:21:08,0,0,15442C,The Misfits,CANYON HIGH,California - Region 4,United States
157,276,123,153,123,153,2023-02-06 00:46:20,2023-02-06 17:26:51,0,0,360X,Vangatriots,,Texas - Region 2,United States
158,276,105,171,121,171,2023-01-19 03:57:43,2023-01-07 18:02:12,0,0,10Z,Exothermic Zeta,Exothermic Robotics,Washington,United States
159,276,110,166,110,166,2023-01-29 13:17:47,2023-01-29 12:51:06,0,0,1575Y,Yo-Yo,Woodbridge High School,Virginia,United States
160,276,97,179,97,179,2023-02-11 18:24:44,2023-02-11 19:22:43,60,0,61002G,Pew Pew IQ,Ellensburg Robotics Club,Washington,United States
161,276,87,189,87,189,2023-02-18 15:18:52,2023-02-18 20:14:49,0,0,8349A,Anomaly,GATEWAY ACADEMY TO INNOVATION & TECH.,Kentucky,United States
162,275,92,183,92,183,2023-02-18 18:40:02,2023-02-18 19:04:09,41,0,9181V,Vroom Vroom,Seaquam Secondary,British Columbia (BC),Canada
163,274,102,172,102,172,2023-02-11 14:13:01,2023-02-11 17:33:06,0,0,34532B,Dragon Robotics,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,Florida - South,United States
164,273,127,146,127,146,2023-02-18 13:59:30,2023-02-18 14:08:59,3,0,8823E,Enigma,Milford High School,Ohio,United States
165,273,99,174,99,174,2023-02-04 17:58:56,2023-02-04 18:11:21,0,0,78792E,Mount Academy Eagles E,The Mount Academy,New York-South,United States
166,272,113,159,113,159,2023-02-20 02:43:50,2023-02-20 01:50:15,0,2,98052A,Orion,Future Labs,Washington,United States
167,272,94,178,94,178,2023-02-06 23:31:03,2023-02-06 18:34:46,0,0,2131G,SlothBots,DAVIS HIGH,Utah,United States
168,270,118,152,118,152,2023-02-11 17:34:25,2023-02-11 17:15:43,10,0,30204A,Gibbons Gearheads,Cardinal Gibbons High School,Florida - South,United States
169,270,113,157,113,161,2023-02-11 16:55:46,2023-02-18 15:00:05,0,0,1028A,The Fighting Chirmachillas,Brownell Talbot College Preparatory School,Nebraska,United States
170,270,108,162,108,162,2023-02-16 17:39:23,2023-02-16 01:12:52,0,0,4828K,BrewTech Robotics - K,BREWTECH TECHNOLOGY MAGNET HIGH SCHOOL,Alabama,United States
171,270,100,170,100,183,2023-02-03 21:56:18,2023-02-18 21:07:12,0,0,1233W,1233 Whiplash,CROWN POINT HIGH SCHOOL,Indiana,United States
172,270,97,173,97,173,2023-02-04 15:13:29,2023-02-04 16:45:56,0,0,293X,Eon,Echo Robotics,Pennsylvania - East,United States
173,268,149,119,149,123,2022-12-03 15:17:59,2022-12-17 19:00:19,0,0,7862D,Duckies,Hesston High School,Kansas,United States
174,268,112,156,112,156,2023-02-04 14:39:33,2023-02-04 15:20:14,0,0,929V,Hereford Zone Robotics,Hereford High School,Maryland,United States
175,267,125,142,125,142,2023-02-05 16:42:00,2023-02-05 00:03:27,0,0,1010X,TenTon Robotics,West Vancouver School District #45,British Columbia (BC),Canada
176,267,84,183,97,183,2022-10-29 21:00:02,2023-02-11 18:24:01,2,0,2114R,Rubberband Robotics,Branches Homeschool Co-op,Arizona,United States
177,266,105,161,105,161,2023-01-14 18:18:49,2023-01-14 20:10:31,0,0,15486H,Vexation,VISTA SCHOOL,Utah,United States
178,266,82,184,82,184,2023-02-04 18:31:46,2023-02-04 18:00:13,0,0,2833A,Roboraptors,Raptor Robotics,North Carolina,United States
179,266,68,198,68,198,2023-02-12 22:10:41,2023-02-12 21:23:10,7,0,2496X,BHS Robopatties X,Arnold O. Beckman High School,California - Region 4,United States
180,265,125,140,125,140,2022-12-17 23:03:26,2022-12-17 22:27:28,0,0,210Z,Eclipse,Western Mechatronics,Alberta/Saskatchewan,Canada
181,265,103,162,120,162,2022-11-12 20:17:02,2022-11-18 21:09:09,0,0,7282Z,AutoFlashes: Zenith,Franklin Central High School,Indiana,United States
